population,side,stack_cell,stack,cell,Time (sec),ROI_mean_Fluo,deltaF_F,led
OviDN_activation,left,547_5,547,5,6,726.325,0.007024336875751995,0
OviDN_activation,left,547_5,547,5,7,740.091,0.026110416828158376,0
OviDN_activation,left,547_5,547,5,8,738.961,0.02454371115140266,0
OviDN_activation,left,547_5,547,5,9,719.039,-0.0030774485763208196,0
OviDN_activation,left,547_5,547,5,10,724.455,0.0044316469505013695,0
OviDN_activation,left,547_5,547,5,11,724.364,0.004305478617240499,3
OviDN_activation,left,547_5,547,5,12,718.442,-0.003905168301120054,0
OviDN_activation,left,547_5,547,5,13,749.364,0.03896710863396001,0
OviDN_activation,left,547_5,547,5,14,763.974,0.05922336521573091,0
OviDN_activation,left,547_5,547,5,15,767.065,0.06350892915099812,0
OviDN_activation,left,547_5,547,5,16,756.909,0.0494279885730059,0
OviDN_activation,left,547_5,547,5,17,767.104,0.06356300129382418,0
OviDN_activation,left,547_5,547,5,18,759.364,0.05283176064064781,0
OviDN_activation,left,547_5,547,5,19,761.221,0.0554064265182897,0
OviDN_activation,left,547_5,547,5,20,767.662,0.06433664887579736,0
OviDN_activation,left,547_5,547,5,21,757.312,0.04998673404887545,3
OviDN_activation,left,547_5,547,5,22,727.857,0.009148401563176463,0
